08:08:18.566 [main] INFO com.opsmx.AuditClientServiceApplication -- Starting Audit client service...

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.2)

2024-10-18T08:08:33.210Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/auditEvents/{auditEventId}/pipeline]}
2024-10-18T08:08:33.210Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/policies/summary]}
2024-10-18T08:08:33.210Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/violations/applications]}
2024-10-18T08:08:33.210Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/v3/api-docs/swagger-config], produces [application/json]}
2024-10-18T08:08:33.210Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/policies]}
2024-10-18T08:08:33.210Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/cddashboard/widgetChartData], produces [application/json]}
2024-10-18T08:08:33.210Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/totalPipelineFailuresCounts]}
2024-10-18T08:08:33.210Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/auditUsers/download], produces [text/csv]}
2024-10-18T08:08:33.211Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/violations/applications/{applicationName}/services/{serviceId}]}
2024-10-18T08:08:33.211Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/datewise]}
2024-10-18T08:08:33.211Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/pipelineExecutionAuditEvents/{pipelineExecutionAuditEventsId}]}
2024-10-18T08:08:33.211Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/hourwise]}
2024-10-18T08:08:33.211Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/applications/active/hourwise]}
2024-10-18T08:08:33.211Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/pipeline]}
2024-10-18T08:08:33.211Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/{username}/pipeline]}
2024-10-18T08:08:33.211Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/appWisePipelineFailuresCounts]}
2024-10-18T08:08:33.211Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/violations/applications/count]}
2024-10-18T08:08:33.211Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/gates/bydate]}
2024-10-18T08:08:33.212Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/policies]}
2024-10-18T08:08:33.212Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/gates/hourwise]}
2024-10-18T08:08:33.212Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/cddashboard/widgetChartData/download], produces [text/csv]}
2024-10-18T08:08:33.213Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : { [/error]}
2024-10-18T08:08:33.213Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/v3/api-docs], produces [application/json]}
2024-10-18T08:08:33.213Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/auditUsers/summary]}
2024-10-18T08:08:33.214Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/pipelineconfig]}
2024-10-18T08:08:33.214Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/applications/active/datewise]}
2024-10-18T08:08:33.214Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/pipeline/executions/getRefIdToStagePositions]}
2024-10-18T08:08:33.215Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/gates/datewise]}
2024-10-18T08:08:33.217Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/policies/download], produces [text/csv]}
2024-10-18T08:08:33.217Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/applications]}
2024-10-18T08:08:33.217Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v3/users/{username}/pipelineConfigHistory/{pipelineConfigId}]}
2024-10-18T08:08:33.218Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/swagger-ui.html]}
2024-10-18T08:08:33.218Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/cddashboard/widgetChartData/download], produces [text/csv]}
2024-10-18T08:08:33.219Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v2/users/{username}/pipelineconfig/summary]}
2024-10-18T08:08:33.219Z  INFO 8 --- [oes-audit-client] [           main] c.o.a.AuditClientListener                : {GET [/auditclientservice/v1/users/{username}/pipelineconfig/download]}
